net,length_um
_08647_,246.25
_07834_,246.11
net85,245.99
_06198_,245.03
net14,244.13
clknet_4_15__leaf_clk,244.04
net293,243.73
net111,243.64
net531,243.42
_10863_,243.41
net181,243.27
_07000_,242.45
_07777_,242.18
net141,242.1
net251,241.94
_10216_,241.86
_07381_,241.71
_10946_,241.67
_12530_,241.48
net87,240.85
net280,240.66
_06127_,240.14
_07466_,239.6
_01391_,239.58
net450,238.98
_07095_,238.82
net350,238.74
_03056_,237.77
_00512_,237.435
_11137_,237.33
_12456_,237.035
net122,236.43
_01573_,236.4
net316,236.155
_11688_,235.96
net20,235.79
_01598_,235.39
_05390_,235.215
_09424_,235.055
net279,235.04
_06649_,234.98
_06284_,234.97
_10234_,233.84
_07128_,233.75
_08622_,233.26
_07240_,233.23
_02363_,232.95
net557,232.72
_01400_,232.47
net422,232.36
_06214_,232.22
net79,232.16
_03105_,230.955
_06926_,230.89
net32,230.7
net496,230.36
_12254_,230.28
_07875_,230.015
net262,229.5
_01507_,229.36
pe_row\[1\].pe_col\[2\].pe_inst.b_out\[7\],229
_08636_,228.81
_08609_,228.56
net277,228.36
_11549_,228.24
_07600_,228.2
_03031_,227.34
_10859_,226.935
net382,226.57
_10869_,226.11
_01456_,226.02
_13156_,225.66
net311,225.29
net22,225.24
_03069_,224.46
_00785_,223.965
_03899_,223.95
_05377_,223.58
net34,223.36
_03049_,223.025
net168,222.56
net541,222.37
net501,221.9
_10229_,221.68
net492,221.44
_06126_,220.88
net600,220.1
_13082_,219.86
net175,219.06
_10180_,218.86
_00784_,218.725
_03801_,218.68
_05949_,218.66
_08597_,217.8
net82,217.36
net254,216.72
_02909_,215.71
net161,215.62
net41,212.36
pe_row\[1\].pe_col\[3\].pe_inst.b_out\[1\],212.22
_07831_,212.17
net515,212.13
net580,211.88
net324,211.38
_10951_,210.93
_00787_,210.82
_03014_,210.41
_06239_,210.41
_08368_,209.26
net497,209.2
_07719_,209.075
net157,208.72
_10860_,208.36
_08651_,208.32
_08487_,206.66
net423,205.5
_10963_,205.38
_09383_,204.87
_01457_,204.2
net16,204.2
_09429_,203.87
_03812_,203.5
_13081_,203.15
_02784_,201.94
net452,201.66
net563,200.7
net99,200.6
_03378_,200.58
_05451_,199.98
_00786_,199.88
pe_row\[3\].pe_col\[0\].pe_inst.a_in\[1\],199.88
_10902_,199.83
net558,199.72
_06281_,199.64
_13142_,199.64
_12451_,199.1
net217,199.02
_00503_,199.01
clknet_4_0__leaf_clk,199
net10,198.7
_06494_,198.37
_08614_,198.155
_00603_,198.025
_06247_,198.01
_00083_,196.845
net548,196.7
net252,196.16
_02196_,196.1
_11698_,196.07
_09426_,195.78
_08632_,195.74
_04624_,195.52
_10202_,195.5
_03104_,194.6
_11504_,194.575
_04572_,194.52
_12446_,194.28
_07837_,193.945
_05445_,193.84
_10185_,193.8
net256,193.8
_03110_,193.715
_06960_,193.415
_03035_,192.72
